Name,SKU,Link,Price,Step File
"1121 Series Low-Side U-Channel (16 Hole, 408mm Length)",1121-0016-0408,https://www.gobilda.com/1121-series-low-side-u-channel-16-hole-408mm-length/,17.99,https://www.gobilda.com/content/step_files/1121-0016-0408.zip
"1143 Series Mini Low-Side U-Channel (15 Hole, 384mm Length)",1143-0015-0384,https://www.gobilda.com/1143-series-mini-low-side-u-channel-15-hole-384mm-length/,14.19,https://www.gobilda.com/content/step_files/1143-0015-0384.zip
Modern Robotics/MATRIX 12VDC Motor,5000-0002-0001,https://www.gobilda.com/modern-robotics-matrix-12vdc-motor/,14.99,https://www.gobilda.com/content/step_files/5000-0002-0001.zip
"1120 Series U-Channel (10 Hole, 264mm Length)",1120-0010-0264,https://www.gobilda.com/1120-series-u-channel-10-hole-264mm-length/,12.99,https://www.gobilda.com/content/step_files/1120-0010-0264.zip
"1120 Series U-Channel (11 Hole, 288mm Length)",1120-0011-0288,https://www.gobilda.com/1120-series-u-channel-11-hole-288mm-length/,13.99,https://www.gobilda.com/content/step_files/1120-0011-0288.zip
"1143 Series Mini Low-Side U-Channel (14 Hole, 360mm Length)",1143-0014-0360,https://www.gobilda.com/1143-series-mini-low-side-u-channel-14-hole-360mm-length/,13.39,https://www.gobilda.com/content/step_files/1143-0014-0360.zip
"1120 Series U-Channel (13 Hole, 336mm Length)",1120-0013-0336,https://www.gobilda.com/1120-series-u-channel-13-hole-336mm-length/,15.99,https://www.gobilda.com/content/step_files/1120-0013-0336.zip
"1120 Series U-Channel (14 Hole, 360mm Length)",1120-0014-0360,https://www.gobilda.com/1120-series-u-channel-14-hole-360mm-length/,16.99,https://www.gobilda.com/content/step_files/1120-0014-0360.zip
"1121 Series Low-Side U-Channel (15 Hole, 384mm Length)",1121-0015-0384,https://www.gobilda.com/1121-series-low-side-u-channel-15-hole-384mm-length/,16.99,https://www.gobilda.com/content/step_files/1121-0015-0384.zip
"1143 Series Mini Low-Side U-Channel (16 Hole, 408mm Length)",1143-0016-0408,https://www.gobilda.com/1143-series-mini-low-side-u-channel-16-hole-408mm-length/,14.99,https://www.gobilda.com/content/step_files/1143-0016-0408.zip
"1121 Series Low-Side U-Channel (13 Hole, 336mm Length)",1121-0013-0336,https://www.gobilda.com/1121-series-low-side-u-channel-13-hole-336mm-length/,14.99,https://www.gobilda.com/content/step_files/1121-0013-0336.zip
"1121 Series Low-Side U-Channel (12 Hole, 312mm Length)",1121-0012-0312,https://www.gobilda.com/1121-series-low-side-u-channel-12-hole-312mm-length/,13.99,https://www.gobilda.com/content/step_files/1121-0012-0312.zip
"1102 Series Flat Beam (41 Hole, 328mm Length) - 2 Pack",1102-0041-0328,https://www.gobilda.com/1102-series-flat-beam-41-hole-328mm-length-2-pack/,6.49,https://www.gobilda.com/content/step_files/1102-0041-0328.zip
"5204 Series Yellow Jacket Planetary Gear Motor (13.7:1 Ratio, 80mm Length 8mm REX™ Shaft, 435 RPM, 3.3 - 5V Encoder)",5204-8002-0014,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-13-7-1-ratio-80mm-length-8mm-rex-shaft-435-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0014.zip
"1120 Series U-Channel (9 Hole, 240mm Length)",1120-0009-0240,https://www.gobilda.com/1120-series-u-channel-9-hole-240mm-length/,11.99,https://www.gobilda.com/content/step_files/1120-0009-0240.zip
"1121 Series Low-Side U-Channel (14 Hole, 360mm Length)",1121-0014-0360,https://www.gobilda.com/1121-series-low-side-u-channel-14-hole-360mm-length/,15.99,https://www.gobilda.com/content/step_files/1121-0014-0360.zip
"5203 Series Yellow Jacket Planetary Gear Motor (13.7:1 Ratio, 24mm Length 8mm REX™ Shaft, 435 RPM, 3.3 - 5V Encoder)",5203-2402-0014,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-13-7-1-ratio-24mm-length-8mm-rex-shaft-435-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0014.zip
"1120 Series U-Channel (12 Hole, 312mm Length)",1120-0012-0312,https://www.gobilda.com/1120-series-u-channel-12-hole-312mm-length/,14.99,https://www.gobilda.com/content/step_files/1120-0012-0312.zip
Modern Robotics/MATRIX 12VDC Motor with 8mm REX™ Pinion Shaft,5000-0002-4008,https://www.gobilda.com/modern-robotics-matrix-12vdc-motor-with-8mm-rex-pinion-shaft/,24.99,https://www.gobilda.com/content/step_files/5000-0002-4008.zip
"5303 Series Saturn Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX™ Shaft, 360 RPM, 3.3 - 5V Encoder)",5303-2402-0051,https://www.gobilda.com/5303-series-saturn-planetary-gear-motor-50-9-1-ratio-24mm-length-8mm-rex-shaft-360-rpm-3-3-5v-encoder/,57.99,https://www.gobilda.com/content/step_files/5303-2402-0051.zip
"1120 Series U-Channel (8 Hole, 216mm Length)",1120-0008-0216,https://www.gobilda.com/1120-series-u-channel-8-hole-216mm-length/,10.99,https://www.gobilda.com/content/step_files/1120-0008-0216.zip
"1102 Series Flat Beam (35 Hole, 280mm Length) - 2 Pack",1102-0035-0280,https://www.gobilda.com/1102-series-flat-beam-35-hole-280mm-length-2-pack/,5.99,https://www.gobilda.com/content/step_files/1102-0035-0280.zip
"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX™ Shaft, 312 RPM, 3.3 - 5V Encoder)",5203-2402-0019,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-24mm-length-8mm-rex-shaft-312-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0019.zip
